original_Institution_Name,original_Branch_Name,original_Address,lat,lon,suburb
SMBC MANUBANK,WARNER CENTER BRANCH,"21550 Oxnard Street, Suite 250",34.17939517,-118.5994877,Warner Center
BMO Bank National Association,LITTLE TOKYO (CB) BRANCH,123 Astronaut E S Onizuka St,34.0498115,-118.24218,Downtown
Comerica Bank,LOS ANGELES REGIONAL BRANCH,601 S Figueroa St,34.05077785,-118.2593021,Downtown
Comerica Bank,LOS ANGELES BRANCH,1840 Century Park E,34.06217571,-118.4151002,Century City
Royal Business Bank,SILVERLAKE-SUNSET BRANCH,1912 W Sunset Blvd,34.07801657,-118.2605669,Echo Park
Bank of Hope,WESTERN-9TH BRANCH,841 S Western Ave,34.05689522,-118.3091676,Koreatown
"Zions Bancorporation, N.A.",LOS ANGELES METRO OFFICE,550 S Hope St,34.0497343,-118.255629,Downtown
City National Bank,CENTURY CITY TOWERS BRANCH,2029 Century Park East A Level,34.05970749,-118.4132069,Century City
Hanmi Bank,OLYMPIC-KINGSLEY BRANCH,3099 W Olympic Blvd,34.052692,-118.302968,Koreatown
Hanmi Bank,VERMONT BRANCH,933 S Vermont Ave,34.055104,-118.291718,Pico-Union
Hanmi Bank,WILSHIRE-HOBART BRANCH,3660 Wilshire Blvd,34.0616348,-118.3048814,Koreatown
Hanmi Bank,DOWNTOWN-LOS ANGELES BRANCH,950 S Los Angeles St,34.04007918,-118.2549225,Downtown
Hanmi Bank,OLYMPIC BRANCH,3737 Olympic Boulevard,34.053424,-118.319117,Koreatown
Hanmi Bank,WESTERN BRANCH,120 S Western Ave,34.07258263,-118.3090316,Koreatown
The Northern Trust Company,CENTURY CITY BRANCH,2049 Century Park E,34.05935569,-118.4129033,Century City
Bank of Hope,BROADWAY BRANCH,1205 S Broadway,34.0380859,-118.2604517,Downtown
Bank of Hope,WESTERN-BEVERLY BRANCH,253 N Western Ave,34.0760338,-118.30954,Koreatown
Bank of Hope,OLYMPIC - VERMONT BRANCH,2727 W Olympic Blvd,34.0527416,-118.2928829,Pico-Union
"Citibank, National Association",WESTCHESTER BRANCH,8800 S Sepulveda Blvd,33.95698905,-118.3957728,Westchester
"Citibank, National Association",WEST HOLLYWOOD - SUNSET/DOHENY BRANCH,9059 W Sunset Blvd,34.09070992,-118.3890581,Sunset Strip
"Citibank, National Association",BRENTWOOD BRANCH,11726 San Vincente Blvd,34.053286,-118.466265,Brentwood
First-Citizens Bank & Trust Company,WEST LOS ANGELES BRANCH,3000 S Sepulveda Blvd,34.027309,-118.428476,
First-Citizens Bank & Trust Company,LA BREA BRANCH,400 N La Brea Ave,34.078395,-118.34394,Fairfax
"JPMorgan Chase Bank, National Association",12335 VENICE BLVD BRANCH,12335 Venice Blvd,34.0040977,-118.4335335,Mar Vista
"JPMorgan Chase Bank, National Association",NORTH FIGUEROA ST BRANCH,5700 N Figueroa St,34.109654,-118.192478,Highland Park
"JPMorgan Chase Bank, National Association",VERMONT AVE BRANCH,5717 S Vermont Ave,33.99027145,-118.2915807,Vermont Square
"JPMorgan Chase Bank, National Association",EL SERENO BRANCH,4887 Huntington Dr N,34.085752,-118.1804441,Montecito Heights
"JPMorgan Chase Bank, National Association",LA BREA BRANCH,449 N La Brea Ave,34.07925114,-118.34414,Fairfax
"JPMorgan Chase Bank, National Association",WESTWOOD BRANCH,1550 Westwood Blvd,34.05352124,-118.4400687,
"JPMorgan Chase Bank, National Association",PICO BEVERLY BRANCH,1180 S Beverly Dr,34.05661095,-118.3961981,Pico-Robertson
U.S. Bank National Association,FAIRFAX BRANCH,145 S Fairfax Ave,34.07303155,-118.3617277,Fairfax
"Citibank, National Association",LOS ANGELES-KOREA TOWN,3530 Wilshire Blvd,34.06165269,-118.3017696,Koreatown
"Citibank, National Association",LOS ANGELES-BOYLE HEIGHTS,3479 E 1st St,34.03645633,-118.1932638,
"JPMorgan Chase Bank, National Association",888 WEST 7TH STREET BRANCH,725 S Figueroa St,34.0487308,-118.2611292,Downtown
First-Citizens Bank & Trust Company,WESTCHESTER BRANCH,8750 S Sepulveda Blvd,33.95794308,-118.3963952,Westchester
"Citibank, National Association",SILVERLAKE BRANCH,2450 Glendale Blvd,34.1016888,-118.2588589,
"JPMorgan Chase Bank, National Association",HANCOCK PARK BRANCH,4333 Wilshire Blvd,34.06188041,-118.322237,
"JPMorgan Chase Bank, National Association",CRENSHAW BRANCH,4401 Crenshaw Blvd,34.00322145,-118.3321508,
"JPMorgan Chase Bank, National Association",FAIRFAX BRANCH,310 N Fairfax Ave,34.07641739,-118.361333,Fairfax
"JPMorgan Chase Bank, National Association",WEST MANCHESTER AVENUE BRANCH,1027 W Manchester Ave,33.96010589,-118.292509,Vermont Knolls
"JPMorgan Chase Bank, National Association",CENTURY CITY BRANCH,10250 Santa Monica Blvd,34.058913,-118.419345,Century City
"JPMorgan Chase Bank, National Association",FOURTH AND HOPE BRANCH,400 S Hope St,34.0515586,-118.2532114,Downtown
"JPMorgan Chase Bank, National Association",EAST LOS ANGELES BRANCH,5301 Whittier Blvd,34.02005712,-118.1560498,East Los Angeles
"JPMorgan Chase Bank, National Association",SEPULVEDA AND LA TIJERA BRANCH,8813 S Sepulveda Blvd,33.95572921,-118.3963779,Westchester
"JPMorgan Chase Bank, National Association",WEST LOS ANGELES BRANCH,11285 National Blvd,34.02646048,-118.4311594,
"JPMorgan Chase Bank, National Association",LARCHMONT VILLAGE BRANCH,101 N Larchmont Blvd,34.07633,-118.323738,
"Citibank, National Association",LOS ANGELES-CENTURY CITY BRANCH,1900 Avenue Of The Stars,34.05997107,-118.4169732,Century City
"Citibank, National Association",LOS ANGELES-MOUNT VERNON BRANCH,270 N Vermont Ave,34.075751,-118.2915843,
"Citibank, National Association",LOS ANGELES-ECHO PARK BRANCH,1900 W Sunset Blvd,34.078024,-118.260513,Echo Park
"Citibank, National Association",5015 EAGLE ROCK BLVD BRANCH,5015 Eagle Rock Blvd,34.13745542,-118.2147243,Eagle Rock
"Citibank, National Association",LOS ANGELES-RANCHO PARK PICO BRANCH,10680 W Pico Blvd,34.04209957,-118.4241934,West Los Angeles
"Citibank, National Association",LOS ANGELES-HOLLYWOOD BRANCH,5000 W Sunset Blvd,34.098048,-118.298472,
"Citibank, National Association",LOS ANGELES-WATTS BRANCH,1601 E 103rd St,33.94313898,-118.2433961,
"Citibank, National Association",LOS ANGELES-EAST WHITTIER,5401 Whittier Blvd,34.01963009,-118.1540618,East Los Angeles
"Citibank, National Association",LOS ANGELES-LOS FELIZ,1859 Hillhurst Ave,34.10474517,-118.2875123,Los Feliz Neighborhood Council District
"Citibank, National Association",LOS ANGELES-FAIRFAX,300 S Fairfax Ave,34.07326376,-118.3613186,Fairfax
"JPMorgan Chase Bank, National Association",WESTCHESTER PLAYA BRANCH,7151 W Manchester Ave,33.95993096,-118.4177327,
U.S. Bank National Association,LA BREA BRANCH,736 N La Brea Ave,34.08413735,-118.3439517,Fairfax
Universal Bank,EAGLE ROCK - BRANCH,2575 Colorado Blvd,34.14201,-118.2224645,Eagle Rock
"JPMorgan Chase Bank, National Association",BOYLE HEIGHTS BRANCH,2301 E 1st St,34.044241,-118.210756,Boyle Heights
"JPMorgan Chase Bank, National Association",SOUTH SOTO STREET BRANCH,1350 S Soto St,34.025422,-118.219625,
"JPMorgan Chase Bank, National Association",PARK LABREA BRANCH,6120 W 3rd St,34.07036114,-118.35371,Fairfax
U.S. Bank National Association,ATWATER BRANCH,3355 Glendale Blvd,34.11966095,-118.2595312,Atwater Village
U.S. Bank National Association,HIGHLAND PARK BRANCH,6301 N Figueroa St,34.115614,-118.184364,Highland Park
East West Bank,SILVERLAKE BRANCH,2496 Glendale Blvd,34.09798796,-118.2595818,
East West Bank,LINCOLN HEIGHTS BRANCH,2601 N Broadway,34.07373207,-118.2149852,Lincoln Heights
East West Bank,LOS ANGELES CHINATOWN BRANCH,900 N Broadway,34.06444835,-118.2369427,Chinatown
"Bank of America, National Association",BALDWIN HILLS VILLAGE BRANCH,3615 S La Brea Ave,34.02119707,-118.3557085,West Adams
East West Bank,LA CHINATOWN - HILL BRANCH,767 N Hill St,34.06209896,-118.2399777,Chinatown
"JPMorgan Chase Bank, National Association",RANCHO PARK BRANCH,10701 W Pico Blvd,34.04195,-118.424832,West Los Angeles
"JPMorgan Chase Bank, National Association",WATTS BRANCH,10221 Compton Ave,33.94398267,-118.2463386,
"Citibank, National Association",LOS ANGELES BRANCH,211 S Central Ave,34.0465366,-118.2394135,Downtown
Bank of Hope,SAN PEDRO MART BRANCH,1100 S San Pedro St Unit L21-L25,34.03551708,-118.2518658,Downtown
Woori America Bank,WILSHIRE BRANCH,3540 Wilshire Blvd,34.0615618,-118.301721,Koreatown
"Citibank, National Association",LA MAIN,787 W 5th St,34.05160805,-118.2551088,Downtown
Columbia Bank,BRENTWOOD BRANCH,11661 San Vicente Blvd,34.05367574,-118.4640521,Brentwood
Bank of Hope,Bank of Hope,3200 Wilshire Blvd,34.06171,-118.291786,Koreatown
"Citibank, National Association",SOUTH VERNONT BRANCH,3615 S Vermont Ave,34.02269632,-118.291636,Exposition Park
"Wells Fargo Bank, National Association",LITTLE TOKYO  BRANCH,232 E 2nd St,34.0494625,-118.2427823,Downtown
U.S. Bank National Association,BOYLE HEIGHTS BRANCH,2708 E 1st St,34.04187594,-118.2058414,Boyle Heights
U.S. Bank National Association,SLAUSON & CRENSHAW BRANCH,5760 Crenshaw Blvd,33.98975906,-118.3304993,Hyde Park
PCB Bank,PCB Bank,3701 Wilshire Blvd,34.06228095,-118.3068421,Koreatown
Bank of Hope,WILSHIRE-HARVARD BRANCH,3600 Wilshire Blvd,34.0622784,-118.2988969,Koreatown
"City First Bank, National Association",SOUTH FIGUEROA STREET BRANCH,4001 S Figueroa St,34.011019,-118.282831,
Bank of Hope,OLYMPIC - HOOVER BRANCH,2222 W Olympic Blvd,34.05209186,-118.2813829,Pico-Union
U.S. Bank National Association,BALDWIN HILLS BRANCH,3605 S La Brea Ave,34.02134702,-118.355711,West Adams
Shinhan Bank America,CALIFORNIA REGIONAL OFFICE/OLYMPIC BRANCH,3000 W Olympic Blvd,34.052541,-118.300164,Koreatown
MidFirst Bank,CENTURY CITY BRANCH,1875 Century Park E,34.06184094,-118.415054,Century City
U.S. Bank National Association,US BANK TOWER BRANCH,633 W 5th St,34.0510508,-118.2544132,Downtown
"Citibank, National Association",LOS ANGELES-MIRACLE MILE BRANCH,5670 Wilshire Blvd,34.06251833,-118.3519058,Mid-Wilshire
United Business Bank,LOS ANGELES BRANCH,3333 Wilshire Blvd,34.0619246,-118.2956559,Koreatown
Commonwealth Business Bank,Commonwealth Business Bank,3435 Wilshire Blvd,34.06183335,-118.2989835,Koreatown
Banc of California,LOS ANGELES MAIN BRANCH,900 Wilshire Blvd,34.05015255,-118.2603791,Downtown
U.S. Bank National Association,LOS FELIZ BRANCH,1702 N Vermont Ave,34.1019327,-118.2916711,Los Feliz Neighborhood Council District
"Wells Fargo Bank, National Association",PALMS BRANCH,11116 Palms Blvd,34.01976306,-118.4210111,Palms
U.S. Bank National Association,WEST THIRD STREET VONS BRANCH,3461 W 3rd St,34.0697992,-118.290693,Koreatown
"Wells Fargo Bank, National Association",GLENDALE GATEWAY BRANCH,2933 Los Feliz Blvd,34.12554541,-118.2647981,
OneUnited Bank,CRENSHAW BRANCH,3683 Crenshaw Blvd,34.02041546,-118.335197,Crenshaw
Open Bank,Open Bank,1000 Wilshire Blvd,34.051474,-118.261657,Downtown
"Wells Fargo Bank, National Association",CULVER CITY BRANCH,3321 S La Cienega Boulevard,34.02779665,-118.3721129,
City National Bank,BUNKER HILL BRANCH,350 S Grand Ave,34.0527805,-118.25159,Downtown
Enterprise Bank & Trust,DOWNTOWN LOS ANGELES BRANCH,550 S Hope St,34.0497343,-118.255629,Downtown
U.S. Bank National Association,LARCHMONT BRANCH,157 N Larchmont Blvd,34.0766812,-118.3237394,
Hanmi Bank,KOREATOWN GALLERIA BRANCH,3250 W Olympic Blvd,34.05204,-118.3085338,Koreatown
Eastern International Bank,Eastern International Bank,688 New High St,34.05978602,-118.2386561,Chinatown
Comerica Bank,BRENTWOOD BRANCH,12001 San Vicente Blvd,34.0519338,-118.4730131,Brentwood
Comerica Bank,LOS ANGELES-CRENSHAW BRANCH,3825 Crenshaw Blvd,34.01658431,-118.334784,Crenshaw
Israel Discount Bank of New York,DOWNTOWN LOS ANGELES BRANCH,888 S Figueroa St,34.04633079,-118.2625655,Downtown
Commonwealth Business Bank,DOWNTOWN CENTER,1001 Towne Ave,34.03413,-118.249776,Downtown
PCB Bank,DOWNTOWN FASHION DISTRICT BRANCH,777 E 12th St Ste 200,34.03274896,-118.251213,Fashion District
Woori America Bank,OLYMPIC BRANCH,3360 W Olympic Blvd,34.052552,-118.311297,Koreatown
"Wells Fargo Bank, National Association",MIDTOWN PLAZA BRANCH,4700 W Pico Blvd,34.0484016,-118.3379763,Mid-Wilshire
"Bank of America, National Association",FRANKLIN AND HILLHURST BRANCH,4510 Franklin Ave,34.1051507,-118.2876965,Los Feliz Neighborhood Council District
"JPMorgan Chase Bank, National Association",LOS ANGELES - GAGE CENTER BRANCH,1435 W Gage Ave,33.98243004,-118.3013537,
"JPMorgan Chase Bank, National Association",LEIMERT PARK BRANCH,3738 Crenshaw Blvd,34.01783032,-118.335411,Crenshaw
PCB Bank,OLYMPIC BRANCH,2730 W Olympic Blvd,34.0525754,-118.2931066,Pico-Union
U.S. Bank National Association,LA/VERMONT BRANCH,2604 S Vermont Ave,34.03171,-118.29144,University Park
U.S. Bank National Association,WESTCHESTER RALPHS BRANCH,8824 S Sepulveda Blvd,33.956158,-118.3974289,Westchester
U.S. Bank National Association,MIRACLE MILE BRANCH,5670 Wilshire Blvd,34.06251833,-118.3519058,Mid-Wilshire
Comerica Bank,CENTURY CITY BRANCH,2000 Avenue Of The Stars,34.0583138,-118.4146758,Century City
Comerica Bank,HOLLYWOOD BRANCH,6255 W Sunset Blvd,34.0980915,-118.3241106,Hollywood
"Citibank, National Association",LOS ANGELES-CHINATOWN BRANCH,800 N Hill St,34.063052,-118.239232,Chinatown
Royal Business Bank,Royal Business Bank,1055 Wilshire Blvd,34.052325,-118.2629377,Downtown
Preferred Bank,Preferred Bank,601 S Figueroa St,34.05077785,-118.2593021,Downtown
"Mizrahi Tefahot Bank, Ltd.","Mizrahi Tefahot Bank, Ltd.",633 W 5th St,34.0510508,-118.2544132,Downtown
Habib American Bank,LOS ANGELES BRANCH,928 S Broadway,34.041828,-118.2564051,Downtown
U.S. Bank National Association,SAN FERNANDO SUPER KING MARKET BRANC,2716 N San Fernando Rd,34.10960035,-118.2430447,
Comerica Bank,LOS ANGELES KOREATOWN BANKING CENTER,635 S Hobart Blvd,34.06277569,-118.3054486,Koreatown
"JPMorgan Chase Bank, National Association",SANTA MONICA SALTAIR BRANCH,11975 Santa Monica Blvd,34.041204,-118.4620485,Sawtelle
Mechanics Bank,LOS ANGELES BRANCH,1118 N Vermont Ave,34.09148738,-118.2916379,East Hollywood
"JPMorgan Chase Bank, National Association",BRENTWOOD BRANCH,11770 San Vicente Blvd,34.05297105,-118.4676633,Brentwood
Commercial Bank of California,FAIRFAX BRANCH,145 S Fairfax Ave Ste 100,34.07303155,-118.3617277,Fairfax
"JPMorgan Chase Bank, National Association",WILSHIRE HAUSER BRANCH,5600 Wilshire Blvd,34.06222,-118.350656,Mid-Wilshire
Western Alliance Bank,DOWNTOWN LOS ANGELES BRANCH,601 W 5th St,34.05072275,-118.2539703,Downtown
City National Bank,BRENTWOOD BRANCH,11677 San Vicente Blvd,34.0542143,-118.4652288,Brentwood
State Bank of India (California),LOS ANGELES BRANCH,707 Wilshire Blvd,34.0492822,-118.256963,Downtown
"JPMorgan Chase Bank, National Association",JEFFERSON AND FIGUEROA BRANCH,3335 S Figueroa St,34.02234586,-118.2798163,Historic South-Central
"JPMorgan Chase Bank, National Association",COLORADO AND EAGLE ROCK BRANCH,2175 Colorado Blvd,34.13929611,-118.2136856,Eagle Rock
"JPMorgan Chase Bank, National Association",LOS FELIZ AND HILLHURST BRANCH,4500 Los Feliz Blvd,34.1116128,-118.287845,Los Feliz Neighborhood Council District
"JPMorgan Chase Bank, National Association",HOLLYWOOD AND WESTERN BRANCH,5445 Hollywood Blvd,34.10181876,-118.3081433,
Banc of California,CENTURY CITY BRANCH,1880 Century Park E,34.06155388,-118.4145605,Century City
"Wilmington Trust, National Association",LOS ANGELES OFFICE,10250 Constellation Blvd,34.05704505,-118.417508,Century City
"JPMorgan Chase Bank, National Association",SUNSET & ORANGE GROVE BANKING CENTER BRANCH,7833 W Sunset Blvd,34.098151,-118.3599467,
"JPMorgan Chase Bank, National Association",PICO & LA CIENEGA BANKING CNETER BRANCH,6161 W Pico Blvd,34.053399,-118.375568,Carthay
U.S. Bank National Association,OLYMPIC & FIGUEROA BRANCH,710 W Olympic Blvd,34.0444319,-118.2630472,Downtown
